272
acctcom 2 0 5 1 1 
search 2 0 1 1 0 
print 2 0 6 1 0 
process 2 0 24 1 4 
accounting 2 0 2 1 3 
files 2 0 2 1 0 
utility 2 0 1 1 0 
reads 2 0 1 1 3 
standard 2 0 6 1 4 
form 2 0 3 1 3 
described 2 0 1 1 0 
by 2 0 6 1 4 
writes 2 0 1 1 2 
selected 2 0 3 1 0 
records 2 0 4 1 5 
to 2 0 22 1 12 
Each 2 0 2 1 0 
record 2 0 5 1 6 
represents 2 0 1 1 0 
execution 2 0 2 1 0 
one 2 0 2 1 2 
output 2 0 11 1 2 
shows 2 0 2 1 0 
COMMAND 2 0 1 1 0 
START 2 0 1 1 0 
END 2 0 1 1 0 
REAL 2 0 1 1 0 
CPU 2 0 8 1 3 
MEAN 2 0 1 1 0 
SIZE 2 0 1 1 0 
without 2 0 1 1 0 
STAT 2 0 1 1 0 
system 2 0 9 1 1 
exit 2 0 2 1 0 
HOG 2 0 1 1 0 
KCORE 2 0 1 1 0 
CHARS 2 0 1 1 0 
BLOCKS 2 0 1 1 0 
READ 2 0 1 1 0 
blocks 2 0 1 1 0 
read 2 0 7 1 3 
is 2 0 27 1 21 
prepended 2 0 1 1 0 
command 2 0 4 1 9 
name 2 0 7 1 9 
was 2 0 1 1 0 
executed 2 0 2 1 0 
with 2 0 9 1 1 
If 2 0 3 1 3 
not 2 0 2 1 3 
associated 2 0 3 1 0 
known 2 0 2 1 0 
printed 2 0 2 1 0 
TTYNAME 2 0 2 1 0 
no 2 0 8 1 5 
filename 2 0 4 1 0 
input 2 0 5 1 3 
terminal 2 0 3 1 1 
case 2 0 1 1 0 
when 2 0 2 1 0 
using 2 0 1 1 1 
any 2 0 2 1 2 
arguments 2 0 1 1 0 
are 2 0 4 1 4 
respective 2 0 1 1 0 
file 2 0 16 1 3 
normally 2 0 1 1 0 
that 2 0 6 1 2 
chronological 2 0 1 1 0 
order 2 0 2 1 0 
completion 2 0 1 1 0 
usually 2 0 1 1 0 
current 2 0 2 1 0 
be 2 0 15 1 9 
busy 2 0 1 1 0 
may 2 0 4 1 0 
need 2 0 1 1 0 
several 2 0 1 1 0 
such 2 0 1 1 0 
which 2 0 3 1 0 
all 2 0 4 1 2 
found 2 0 1 1 0 
following 2 0 2 1 1 
options 2 0 1 1 0 
Show 2 0 12 1 0 
some 2 0 1 1 1 
average 2 0 2 1 0 
statistics 2 0 3 1 0 
about 2 0 1 1 0 
processes 2 0 18 1 0 
will 2 0 2 1 1 
after 2 0 3 1 0 
Read 2 0 1 1 0 
showing 2 0 1 1 0 
latest 2 0 1 1 0 
commands 2 0 2 1 4 
This 2 0 2 1 0 
option 2 0 6 1 0 
has 2 0 1 1 0 
effect 2 0 1 1 0 
Print 2 0 2 1 0 
flag 2 0 2 1 0 
status 2 0 2 1 0 
columns 2 0 2 1 0 
numeric 2 0 1 1 0 
this 2 0 1 1 2 
Instead 2 0 2 1 0 
mean 2 0 3 1 3 
memory 2 0 2 1 7 
show 2 0 5 1 2 
fraction 2 0 1 1 0 
total 2 0 5 1 2 
available 2 0 1 1 0 
time 2 0 26 1 5 
consumed 2 0 1 1 0 
during 2 0 1 1 0 
computed 2 0 1 1 0 
as 2 0 14 1 8 
containing 2 0 1 1 0 
counts 2 0 1 1 0 
core 2 0 2 1 0 
size 2 0 3 1 3 
Do 2 0 1 1 0 
just 2 0 1 1 1 
factor 2 0 7 1 0 
separate 2 0 1 1 0 
user 2 0 13 1 9 
Exclude 2 0 1 1 0 
column 2 0 3 1 0 
headings 2 0 1 1 0 
from 2 0 1 1 3 
sec 2 0 9 1 0 
only 2 0 11 1 0 
exceeding 2 0 2 1 0 
Select 2 0 4 1 0 
existing 2 0 2 1 0 
before 2 0 2 1 0 
ending 2 0 1 1 0 
Using 2 0 1 1 0 
same 2 0 1 1 1 
both 2 0 1 1 0 
existed 2 0 1 1 0 
group 2 0 8 1 0 
belonging 2 0 3 1 0 
designated 2 0 1 1 0 
ID 2 0 4 1 9 
exceed 2 0 3 1 1 
where 2 0 1 1 1 
explained 2 0 1 1 0 
chars 2 0 3 1 0 
transferring 2 0 1 1 0 
more 2 0 2 1 1 
characters 2 0 1 1 0 
than 2 0 1 1 0 
cutoff 2 0 1 1 0 
number 2 0 1 1 2 
given 2 0 3 1 2 
line 2 0 3 1 3 
pattern 2 0 3 1 0 
matching 2 0 1 1 0 
regular 2 0 1 1 0 
expression 2 0 1 1 0 
except 2 0 1 1 0 
means 2 0 1 1 0 
Copy 2 0 1 1 0 
data 2 0 1 1 0 
format 2 0 2 1 1 
suppress 2 0 1 1 0 
printing 2 0 1 1 0 
starting 2 0 1 1 0 
specified 2 0 2 1 0 
login 2 0 1 1 9 
then 2 0 1 1 4 
converted 2 0 1 1 0 
designates 2 0 2 1 0 
those 2 0 2 1 0 
superuser 2 0 1 1 0 
unknown 2 0 1 1 0 
password 2 0 1 1 2 
active 2 0 2 1 0 
See 2 0 1 1 1 
descriptions 2 0 1 1 1 
ATTRIBUTE 2 0 2 1 2 
TYPEATTRIBUTE 2 0 1 1 1 
VALUE 2 0 1 1 1 
SUNWaccu 2 0 1 1 1 
CSIEnabled 2 0 1 1 0 
System 2 0 1 1 0 
Administration 2 0 2 1 0 
Basic 2 0 1 1 0 
reports 2 0 1 1 0 
have 2 0 1 1 1 
use 2 0 14 1 11 
acctprc 2 0 1 1 28 
converts 2 0 0 1 1 
tacct 2 0 0 1 4 
divides 2 0 0 1 1 
into 2 0 0 1 1 
prime 2 0 0 1 4 
determines 2 0 0 1 1 
ment 2 0 1 1 4 
summarizes 2 0 0 1 2 
according 2 0 0 1 2 
adds 2 0 0 1 2 
names 2 0 1 1 6 
corresponding 2 0 0 1 2 
summarized 2 0 0 1 1 
written 2 0 1 1 2 
scribed 2 0 1 1 1 
each 2 0 0 1 1 
ASCII 2 0 0 1 1 
giving 2 0 0 1 1 
segment 2 0 0 1 2 
ctmp 2 0 0 1 4 
should 2 0 0 1 1 
contain 2 0 1 1 1 
list 2 0 0 1 1 
sessions 2 0 0 1 2 
sorted 2 0 0 1 2 
obtains 2 0 0 1 1 
information 2 0 0 1 1 
helps 2 0 0 1 1 
distinguish 2 0 0 1 3 
between 2 0 0 1 2 
different 2 0 0 1 1 
share 2 0 0 1 2 
From 2 0 0 1 1 
er 2 0 40 1 20 
summaries 2 0 0 1 1 
Example 2 0 0 1 1 
amples 2 0 0 1 1 
typically 2 0 0 1 2 
used 2 0 0 1 2 
shown 2 0 0 1 2 
ptacct 2 0 0 1 2 
Although 2 0 0 1 1 
possible 2 0 0 1 1 
among 2 0 0 1 1 
IDs 2 0 1 1 5 
run 2 0 1 1 3 
difficult 2 0 0 1 2 
make 2 0 0 1 1 
distinction 2 0 0 1 1 
invoked 2 0 0 1 1 
other 2 0 1 1 1 
example 2 0 0 1 4 
might 2 0 0 1 1 
precise 2 0 0 1 1 
conversion 2 0 0 1 1 
can 2 0 0 1 2 
done 2 0 0 1 1 
acctwtmp 2 0 0 1 1 
program 2 0 0 1 1 
does 2 0 0 1 2 
users 2 0 0 1 1 
identical 2 0 0 1 1 
unit 2 0 0 1 3 
measure 2 0 0 1 1 
bytes 2 0 0 1 1 
logical 2 0 1 1 1 
particular 2 0 0 1 1 
During 2 0 0 1 1 
single 2 0 0 1 1 
invocation 2 0 0 1 1 
maximum 2 0 0 1 2 
distinct 2 0 0 1 4 
lines 2 0 0 1 1 
point 2 0 0 1 1 
actual 2 0 0 1 1 
these 2 0 0 1 1 
items 2 0 0 1 1 
exceeds 2 0 0 1 1 
